# =============================================================================
# suburb_nsw_freq.csv - Frequency table for suburbs in New South Wales
#
# Based on 'Australia on Disk' data files (2002)
#
# Last update: 31/03/2005, Peter Christen
# =============================================================================

# =============================================================================
# This table is in a two-column comma separated format, with the first column
# being the names and the second a corresponding frequency count. 
# =============================================================================

dandaloo,2
dangar_island,153
dangarfield,2
dangarsleigh,63
dapto,5785
darawank,19
darbalara,21
darbys_falls,77
dareton,519
dargan,30
dark_corner,11
darkes_forest,38
darkwood,5
darling_harbour,12
darling_point,2210
darlinghurst,2792
darlington,380
darlington_point,411
darlow,16
darnick,10
daroobalgie,40
dartbrook,17
davidson,920
davis_creek,4
davistown,1003
dawes_point,9
dawsons_hill,16
daysdale,54
dean_park,762
dee_why,8114
dee_why_beach,5
deep_creek,6
deepwater,227
deer_vale,37
delegate,188
delegate_river,5
delevin,7
delungra,310
demondrille,2
denham_beach,5
denham_court,218
denhams_beach,216
deniliquin,3647
denistone,1022
denistone_east,538
denman,749
depot_beach,30
derriwong,8
deua_river_vally,2
dharruk,832
dhuragoon,5
diamond_beach,280
diamond_head,2
diamond_swamp,3
diggers_camp,2
dignams_creek,25
dilkoon,7
dilpurra,30
dingo_creek,14
dirnaseer,18
dobies_bight,41
dobroyd_point,50
dolans_bay,322
dolls_point,682
dolo,14
dolphin_point,82
dondingalong,161
donnellyville,3
doon_doon,53
doonside,4294
dooralong,162
dora_creek,637
dorrigo,753
dorrigo_north,88
dorroughby,84
double_bay,2234
doubtful_creek,27
douglas_park,400
dover_heights,1439
downside,57
doyalson,132
doyalson_north,4
doyles_creek,8
drake,133
driftway,2
drildool,2
dripstone,32
drummoyne,4695
dry_creek,3
dry_plain,46
dubbo,12729
dubbo_west,4
duck_creek,2
duckenfield,41
duckmaloi,19
dudauman,11
dudley,765
duffys_forest,151
dulguigan,50
dulwich_hill,5270
dumaresq,42
dumaresq_island,12
dunbible,43
dunbogan,404
duncans_creek,3
dundas,3106
dundas_valley,856
dundee,75
dundurrabin,42
dunedoo,467
dungarubba,17
dungay,83
dungog,1215
dungowan,166
dunheved,6
dunkeld,52
dunmore,61
dunns_creek,82
dunolly,14
dunoon,273
duns_creek,26
dural,1953
duramana,94
duranbah,115
duri,243
duroby_creek,6
durras,64
durras_lake,32
durras_north,34
durras_south,171
durrumbil,6
dusodie,2
dutchmans_bay,17
duval,31
dyers_crossing,159
dyraaba,49
dyraaba_central,9
dyraaba_creek,9
eagle_vale,1605
eagleton,28
earlwood,5556
east_botany,27
east_branxton,61
east_comboyne,2
east_coraki,26
east_gordon,74
east_gresford,207
east_guyong,46
east_hills,897
east_killara,479
east_lindfield,840
east_lynne,34
east_maitland,3901
east_roseville,418
east_ryde,755
east_sydney,1016
east_wardell,21
eastern_creek,261
eastgardens,14
eastlakes,2109
eastville,2
eastwood,6761
eatonsville,74
ebenezer,375
ebor,84
eccleston,36
eden,1293
eden_creek,57
edensor_park,1933
edenville,15
edgecliff,1309
edgeroi,52
edgeworth,3180
edith,37
edmondson_park,45
edwardstown,2
egansford,14
eglinton,614
elands,108
elanora_heights,1592
elcombe,10
elderslie,737
eleebana,1955
eleebana_heights,22
elermore_vale,1762
elizabeth_bay,2673
elizabeth_beach,63
ellalong,275
ellangowan,69
ellenborough,84
ellerslie,3
ellerston,14
ellis_lane,37
elmgrove,2
elong_elong,81
elrington,50
elsmore,70
eltham,84
elvina_bay,44
emerald_beach,701
emerald_hill,42
emerton,705
emmaville,256
empire_bay,825
empire_vale,78
emu_heights,555
emu_plains,3350
emu_swamp,17
enfield,1390
engadine,6028
enmore,1357
enngonia,29
epping,7655
epping_north,649
eraring,77
erigolia,12
erina,2249
erina_heights,152
ermington,2939
erowal_bay,277
erskine_park,2035
erskineville,1985
erudgere,11
eschol_park,633
essington,17
estella,317
ettalong,1413
ettalong_beach,590
