# =============================================================================
# surname_nsw_freq.csv - Frequency table for surnames in New South Wales
#
# Based on 'Australia on Disk' data files (2002)
#
# Last update: 31/03/2005, Peter Christen
# =============================================================================

# =============================================================================
# This table is in a two-column comma separated format, with the first column
# being the names and the second a corresponding frequency count. 
# =============================================================================

aleksanian,2
alekseev,2
aleksic,20
aleksich,2
aleksioski,2
aleksoska,2
aleksoski,8
aleksovska,2
aleksovski,6
aleliou,3
aleman,10
alembakis,2
alemis,2
alen,2
alenaddaf,2
alenius,2
alesci,4
aleshin,2
alesich,2
aleson,2
alessandra,2
alessandro,8
alessi,37
alessio,8
alesso,4
alevizos,2
alevli,3
alevras,11
alevris,2
alewood,14
alex,27
alexakis,15
alexanda,2
alexande,2
alexander,1225
alexanders,2
alexanderson,3
alexandra,8
alexandrakis,3
alexandratos,8
alexandre,5
alexandria,4
alexandroff,3
alexandropoulos,10
alexandrou,28
alexandrov,3
alexandrova,3
alexandrovsky,2
alexandrow,5
alexanian,4
alexiadis,7
alexiev,2
alexio,3
alexiou,43
alexis,8
alexopoulos,42
alexoulis,3
alexzander,2
aley,11
alf,3
alfa,2
alfaaz,2
alfahoum,2
alfakhrany,2
alfalahy,2
alfan,3
alfar,6
alfaro,18
alfas,3
alfeo,3
alfieri,2
alfierie,2
alfieris,4
alfoldi,4
alfonsi,6
alfonso,32
alfonzetti,3
alfonzi,2
alfonzo,5
alford,138
alforque,4
alfred,35
alfredson,5
alfris,4
algama,2
algar,13
algarbe,2
algate,15
algeo,3
alger,25
algeri,7
algerinos,3
algert,2
alghazzy,2
algie,65
algorry,2
alguttar,2
alha,4
alhabri,2
alhafedh,2
alhafid,2
alhag,2
alhajali,2
alhakim,2
alhalabi,2
alhameed,2
alhashimi,2
alhassan,3
alhassani,2
alhatu,2
alheit,2
alhesany,2
alhessany,3
alhilali,2
alhirz,3
alho,5
alhovirta,2
alhuseini,2
alhuseyni,2
alhussainan,2
ali,642
ali_khan,2
aliaga,5
alias,4
aliberti,9
alibrandi,10
alic,6
alice,7
alicea,2
alicer,2
alicia,2
alicioglu,2
alidenes,6
alidosti,2
aliendi,12
alifa,3
alifano,6
aliferis,18
alifierakis,4
aligianis,6
aligiannis,7
aligic,2
aligno,2
aliiimau,3
alijagic,2
alikay,2
alikhan,3
alilovic,6
alim,10
alimane,2
alimeni,2
alimin,4
alimonti,4
alindog,2
alinejad,2
aliotti,2
alipalo,3
alipate,2
aliperti,2
aliphon,2
alipor,2
alipour,3
aliprand,6
aliprandi,9
alisic,2
alison,21
alispahic,3
aliste,7
alister,3
alit,3
aliuyanik,2
aliverti,3
alivio,4
aliwarga,4
alizadeh,2
alizzi,5
aljaderi,2
aljaidi,3
aljancic,4
aljayashi,2
aljinovich,2
alkadamani,5
alkafage,2
alkahil,3
alkahwati,2
alkakouni,3
alkan,4
alkashwan,2
alkathmi,2
alkayal,2
alkemade,4
alker,25
alkhafaji,2
alkhal,3
alkhalidi,2
alkhamisi,2
alkhamisy,2
alkhas,2
alkhazaaly,3
alkhoury,3
alkin,4
alkini,3
alkiviadou,2
alkombre,2
alkourdi,3
alkozai,11
alksnis,3
alkumaa,2
alkurdi,2
all,6
alla,11
allaburton,7
allada,2
allaf,4
allagiannis,4
allahverdian,3
allahwala,2
allain,3
allalemdjian,2
allam,43
allamby,5
allan,1017
allanach,2
alland,4
allanson,50
allaous,2
allara,4
allard,54
allarde,2
allardice,18
allardyce,2
allars,7
allart,2
allas,9
allatt,10
allauddin,2
allaway,25
allayialis,3
allazze,4
allbeury,4
allbon,17
allbranch,5
allbut,10
allbutt,8
allchin,41
allchorn,4
allchurch,13
allcock,27
allcorn,16
allcot,2
allcott,6
allcroft,4
allder,10
alldis,15
alldred,2
alldrick,2
alldridge,4
alldritt,9
alle,3
alleaume,6
allebi,4
allebone,3
alleck,4
allegacoon,2
allegakoen,2
allegra,4
allegri,4
allegritti,4
alleman,2
allen,3192
allenberg,2
allenby,19
allende,9
allender,8
allenson,4
allenspach,9
aller,5
allerbauer,2
allerby,3
allerdice,5
allerding,5
allerhand,2
allert,6
allerton,49
allertz,3
allery,3
alles,3
allester,4
alletsee,3
alletson,2
alleva,2
alley,106
alleyn,12
alleyne,9
allford,2
allfree,2
allfrey,2
allgayer,2
allgood,19
alli,8
alliband,8
allibon,8
allibone,7
allie,5
allies,2
allin,2
alling,5
allingham,41
allington,12
allinson,15
allis,12
allison,364
alliston,21
allitt,28
allkins,2
allman,79
allmand,2
allmark,4
allmey,5
allmich,3
allmon,3
allmond,3
allner,3
allnutt,10
allo,3
alloggia,8
allom,9
allomes,23
allon,10
allotey,5
allott,28
allotta,15
allouch,5
allouche,22
allport,106
allpress,8
allred,4
allsbury,3
allsep,5
allshorn,9
allso,4
allsop,87
allsopp,113
allston,13
allsworth,2
allt,2
allthorpe,2
allton,2
allum,70
allwell,9
allwood,34
allwork,2
allworth,21
allwright,8
ally,14
alm,6
alma,7
almada,6
almaeddini,2
almagro,7
almahana,2
almahayni,2
almaide,2
almajan,2
almajd,4
almajzoub,3
almalah,2
almaliki,2
almalliki,2
alman,6
almanci,2
almansur,2
almansuri,2
almaoui,2
almariego,3
almario,2
almashkor,3
almasi,5
almasri,6
almazan,6
almeddine,4
almedia,2
almeida,68
almelor,6
almenara,2
almendariz,6
almendrades,3
almer,10
almgren,3
almir,4
almohamed,2
almond,100
almonte,6
almos,2
almoswi,2
almousawi,3
almusawi,8
alnajafie,2
alnajjar,3
alniel,3
alnimer,2
alobeid,2
aloe,26
alofia,4
alogdellis,5
aloi,9
aloise,6
aloisi,19
aloisio,27
alokda,2
alolabi,2
alomes,10
alon,2
alonas,2
alonco,2
alone,5
alonso,33
alonzo,2
alosi,3
aloss,2
aloua,3
aloupis,5
alovili,2
aloysius,2
alp,6
alpe,2
alpear,2
alpen,34
alper,5
alpert,5
alpertonga,3
alpertunga,2
alphandary,3
alphonse,6
alphonso,4
alphred,2
alpin,3
alps,3
alptekin,3
alqadoumi,2
alqassab,3
alquist,4
alradhawi,2
alrekabi,5
alrich,5
alrichan,3
alridge,3
alrifai,3
alrikaby,4
alrubai,2
alrubayi,2
alsaad,2
alsabti,2
alsaedy,2
alsaidi,2
alsaker,2
alsalami,4
alsalti,3
alsamer,2
alsamrani,2
alsarah,2
alsaro,4
alsartawy,2
alsawafi,3
alsemgeest,2
alsford,11
alshaer,3
alshahateet,2
alshamali,3
alsharan,3
alshawa,2
alshimiri,2
alsleben,2
alsop,38
alstergren,5
alston,85
alsuleiman,2
alt,43
altaay,4
altabar,2
altaee,2
altaf,4
altahir,3
altair,4
altamimi,4
altamirano,3
altamore,3
altamura,8
altan,2
altarac,2
altas,3
altass,8
altavilla,7
altay,3
altclass,4
altea,3
alten,4
altena,2
altenburg,3
altenburger,2
alter,12
alterator,25
alterio,10
alterisio,2
altez,2
altham,7
althaus,3
althofer,8
altimanoe,3
altin,5
altindal,2
altindoken,2
alting,4
altinger,2
altinier,3
altintas,2
altiparmak,2
altit,8
altman,36
altmann,32
altmeier,4
alto,3
altobano,2
altobelli,2
altoft,4
altomirano,4
altomonte,4
alton,13
altona,4
altree,9
altschul,6
altschwager,4
altshuler,3
altun,2
altuna,4
altuneag,2
altuneg,4
altus,16
altwasser,2
alty,7
alu,2
aluaro,2
aluboodi,2
aluni,2
alva,2
alvanos,7
alvapillai,2
alvarado,26
alvaran,3
